№;Название поля паспорта;Значение поля паспорта
1;Наименование набора данных;Россия в материалах New York Times: с 1991 по 2022 год
2;Использованные алгоритмы преобразования;Мы использовали архив API New York Times, откуда выгрузили даты, типы, секции, ключевые слова, заголовки, абстракты и лиды публикаций за 1991–2022 годы. Фильтрами при парсинге послужили слова: Russia, Kremlin, Yeltsin, Medvedev, Putin. Во время очистки полученных данных мы также убрали из датасета пустые столбцы и нерелевантные строчки, не связанные с Россией.
3;Формат данных;csv
4;Дата;25.03.2023
5;Авторы набора данных;Закирова Елизавета, Мерекина Полина, Могутова Анна, Рябова Полина
6;Структура набора данных;https://github.com/MogutovaAnna/dataset/blob/ba1037235a6b2c9b1255294e1cc81dd719a1789f/Описание%20структуры%20набора%20данных%20NYT_Russia_1991_2022.csv
7;Ключевые слова;New York Times, архив публикаций, репрезентация, Россия
8;Гиперссылка (URL) на набор;https://github.com/MogutovaAnna/dataset/blob/22725996a4d4490d23a2e198d89d6f97db704467/NYT_Russia_1991_2022(1).csv
9;Дата актуальности;26.03.2023
10;Обзор данных на выходе;Датасет содержит данные о материалах NYT с упоминанием России, выпущенных в 1991–2022 гг., включая заголовки, дату публикации, тип публикации, тип материала, ключевые слова, абстракт, лид, количество слов
11;Источники;developer.nytimes.com/apis
12;Правила использования и распространения;CC BY-SA
